RACINE	LIBELLE	ASO	DA	LibelleDomaineActivite	GP_CAS 	LibelleGroupesDeTypePlanification	GA	LibelleGroupesActivite	DA_GP	DA_GP_GA
08C14	Resections osseuses localisees et/ou ablation de materiel de fixation interne au niveau d'une localisation autre que la hanche et le femur	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G027	Ablations materiel	D02C11	D02C11G027
08C20	Greffes de peau pour maladie de l'appareil musculosquelettique ou du tissu conjonctif	C	D20	Tissu cutane et tissu sous-cutane	C23	Parages de plaies, Greffes de peau, des Tissus S/C	G163	Greffes peau / parages hors brûlures	D20C23	D20C23G163
08C21	Autres interventions portant sur l'appareil musculosquelettique et le tissu conjonctif	C	D26	Activites inter specialites, suivi therapeutique d'affections connues	C25	Chirurgie inter specialites	G179	Chirurgie inter specialites	D26C25	D26C25G179
08C22	Interventions pour reprise de protheses articulaires	C	D02	Orthopedie traumatologie	C09	Chir. majeure de l'app. Locomoteur:  hanche, femur, genou, epaule	G024	Chirurgies majeures orthopediques (dont hanche et femur genou)	D02C09	D02C09G024
08C24	Protheses de genou	C	D02	Orthopedie traumatologie	C09	Chir. majeure de l'app. Locomoteur:  hanche, femur, genou, epaule	G024	Chirurgies majeures orthopediques (dont hanche et femur genou)	D02C09	D02C09G024
08C25	Protheses d'epaule	C	D02	Orthopedie traumatologie	C09	Chir. majeure de l'app. Locomoteur:  hanche, femur, genou, epaule	G024	Chirurgies majeures orthopediques (dont hanche et femur genou)	D02C09	D02C09G024
08C27	Autres interventions sur le rachis	C	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	C02	Chirurgie du rachis, Neuro-chirurgie	G041	Chirurgies rachis/moelle	D05C02	D05C02G041
08C28	Interventions maxillofaciales	C	D10	ORL, Stomatologie	C15	Chirurgie ORL stomato	G085	Chirurgies ORL majeures	D10C15	D10C15G085
08C29	Interventions sur le tissu mou pour tumeurs malignes	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G035	Interventions sur le tissu mou pour tumeurs malignes	D02C11	D02C11G035
08C31	Interventions sur la jambe, age inferieur a 18 ans	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G031	Chirurgie de la jambe	D02C11	D02C11G031
08C32	Interventions sur la jambe, age superieur a 17 ans	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G031	Chirurgie de la jambe	D02C11	D02C11G031
08C33	Interventions sur la cheville et l'arriere-pied a l'exception des fractures	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G032	Chirurgie de la cheville ou du pied	D02C11	D02C11G032
08C34	Interventions sur les ligaments croises sous arthroscopie	C	D02	Orthopedie traumatologie	C10	Arthroscopies, Biopsies osteo-articulaires	G025	Arthroscopies, Biopsies osteo-articulaires	D02C10	D02C10G025
08C35	Interventions sur le bras, coude et epaule	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G033	Chirurgie du membre superieur (hors protheses)	D02C11	D02C11G033
08C36	Interventions sur le pied, age inferieur a 18 ans	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G032	Chirurgie de la cheville ou du pied	D02C11	D02C11G032
08C37	Interventions sur le pied, age superieur a 17 ans	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G032	Chirurgie de la cheville ou du pied	D02C11	D02C11G032
08C38	Autres arthroscopies du genou	C	D02	Orthopedie traumatologie	C10	Arthroscopies, Biopsies osteo-articulaires	G025	Arthroscopies, Biopsies osteo-articulaires	D02C10	D02C10G025
08C39	Interventions sur l'avant-bras	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G033	Chirurgie du membre superieur (hors protheses)	D02C11	D02C11G033
08C40	Arthroscopies d'autres localisations	C	D02	Orthopedie traumatologie	C10	Arthroscopies, Biopsies osteo-articulaires	G025	Arthroscopies, Biopsies osteo-articulaires	D02C10	D02C10G025
08C42	Interventions non mineures sur les tissus mous	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G034	Chirurgie des tissus mous	D02C11	D02C11G034
08C43	Interventions non mineures sur la main	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G029	Chirurgies main, poignet	D02C11	D02C11G029
08C44	Autres interventions sur la main	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G029	Chirurgies main, poignet	D02C11	D02C11G029
08C45	Menisectomie sous arthroscopie	C	D02	Orthopedie traumatologie	C10	Arthroscopies, Biopsies osteo-articulaires	G025	Arthroscopies, Biopsies osteo-articulaires	D02C10	D02C10G025
08C46	Autres interventions sur les tissus mous	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G034	Chirurgie des tissus mous	D02C11	D02C11G034
08C47	Protheses de hanche pour traumatismes recents	C	D02	Orthopedie traumatologie	C09	Chir. majeure de l'app. Locomoteur:  hanche, femur, genou, epaule	G024	Chirurgies majeures orthopediques (dont hanche et femur genou)	D02C09	D02C09G024
08C48	Protheses de hanche pour des affections autres que des traumatismes recents	C	D02	Orthopedie traumatologie	C09	Chir. majeure de l'app. Locomoteur:  hanche, femur, genou, epaule	G024	Chirurgies majeures orthopediques (dont hanche et femur genou)	D02C09	D02C09G024
08C49	Interventions sur la hanche et le femur pour traumatismes recents, age superieur a 17 ans	C	D02	Orthopedie traumatologie	C09	Chir. majeure de l'app. Locomoteur:  hanche, femur, genou, epaule	G024	Chirurgies majeures orthopediques (dont hanche et femur genou)	D02C09	D02C09G024
08C50	Interventions sur la hanche et le femur sauf traumatismes recents, age superieur a 17 ans	C	D02	Orthopedie traumatologie	C09	Chir. majeure de l'app. Locomoteur:  hanche, femur, genou, epaule	G024	Chirurgies majeures orthopediques (dont hanche et femur genou)	D02C09	D02C09G024
08C51	Interventions majeures sur le rachis pour fractures, cyphoses et scolioses	C	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	C02	Chirurgie du rachis, Neuro-chirurgie	G041	Chirurgies rachis/moelle	D05C02	D05C02G041
08C52	Autres interventions majeures sur le rachis	C	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	C02	Chirurgie du rachis, Neuro-chirurgie	G041	Chirurgies rachis/moelle	D05C02	D05C02G041
08C53	Interventions sur le genou pour traumatismes	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G031	Chirurgie de la jambe	D02C11	D02C11G031
08C54	Interventions sur le genou pour des affections autres que traumatiques	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G031	Chirurgie de la jambe	D02C11	D02C11G031
08C55	Interventions sur la cheville et l'arriere-pied pour fractures	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G032	Chirurgie de la cheville ou du pied	D02C11	D02C11G032
08C57	Liberations articulaires du membre inferieur a l'exception de la hanche et du pied	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G031	Chirurgie de la jambe	D02C11	D02C11G031
08C58	Arthroscopies de l'epaule	C	D02	Orthopedie traumatologie	C10	Arthroscopies, Biopsies osteo-articulaires	G025	Arthroscopies, Biopsies osteo-articulaires	D02C10	D02C10G025
08C59	Tenosynovectomies du poignet	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G029	Chirurgies main, poignet	D02C11	D02C11G029
08C60	Interventions sur le poignet autres que les tenosynovectomies	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G029	Chirurgies main, poignet	D02C11	D02C11G029
08C61	Interventions majeures pour infections osteoarticulaires	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G030	Chirurgie pour Osteomyelites aigües (y compris vertebrales) et arthrites septiques	D02C11	D02C11G030
08C62	Autres interventions pour infections osteoarticulaires	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G030	Chirurgie pour Osteomyelites aigües (y compris vertebrales) et arthrites septiques	D02C11	D02C11G030
08K02	Affections de l'appareil musculosquelettique sans acte operatoire de la CMD 08, avec anesthesie, en ambulatoire	C	D02	Orthopedie traumatologie	K08	Traumatologie avec acte classant non operatoire ou anesthesie	G026	Chirurgie Fractures, entorses, luxations, tractions	D02K08	D02K08G026
08K03	Tractions continues et reductions progressives : autres que hanche et femur	C	D02	Orthopedie traumatologie	K08	Traumatologie avec acte classant non operatoire ou anesthesie	G026	Chirurgie Fractures, entorses, luxations, tractions	D02K08	D02K08G026
08K04	Tractions continues et reductions progressives : hanche et femur	C	D02	Orthopedie traumatologie	K08	Traumatologie avec acte classant non operatoire ou anesthesie	G026	Chirurgie Fractures, entorses, luxations, tractions	D02K08	D02K08G026
08M04	Fractures de la hanche et du bassin	C	D02	Orthopedie traumatologie	X05	Traumatologie et ablation de materiel de l'appareil locomoteur	G036	Traumatismes du bassin et des membres	D02X05	D02X05G036
08M05	Fractures de la diaphyse, de l'epiphyse ou d'une partie non precisee du femur	C	D02	Orthopedie traumatologie	X05	Traumatologie et ablation de materiel de l'appareil locomoteur	G036	Traumatismes du bassin et des membres	D02X05	D02X05G036
08M06	Fractures, entorses, luxations et dislocations de la jambe, age inferieur a 18 ans	C	D02	Orthopedie traumatologie	X05	Traumatologie et ablation de materiel de l'appareil locomoteur	G036	Traumatismes du bassin et des membres	D02X05	D02X05G036
08M07	Fractures, entorses, luxations et dislocations de la jambe, age superieur a 17 ans	C	D02	Orthopedie traumatologie	X05	Traumatologie et ablation de materiel de l'appareil locomoteur	G036	Traumatismes du bassin et des membres	D02X05	D02X05G036
08M08	Entorses et luxations de la hanche et du bassin	C	D02	Orthopedie traumatologie	X05	Traumatologie et ablation de materiel de l'appareil locomoteur	G036	Traumatismes du bassin et des membres	D02X05	D02X05G036
08M09	Arthropathies non specifiques	M	D04	Rhumatologie	X06	Rhumatologie	G039	Maladies osseuses et arthropathies	D04X06	D04X06G039
08M10	Maladies osseuses et arthropathies specifiques	M	D04	Rhumatologie	X06	Rhumatologie	G039	Maladies osseuses et arthropathies	D04X06	D04X06G039
08M14	Affections du tissu conjonctif	M	D04	Rhumatologie	X06	Rhumatologie	G040	Autres affections rhumatologiques	D04X06	D04X06G040
08M15	Tendinites, myosites et bursites	M	D04	Rhumatologie	X06	Rhumatologie	G040	Autres affections rhumatologiques	D04X06	D04X06G040
08M18	Suites de traitement apres une affection de l'appareil musculosquelettique ou du tissu conjonctif	M	D04	Rhumatologie	X06	Rhumatologie	G040	Autres affections rhumatologiques	D04X06	D04X06G040
08M19	Autres pathologies de l'appareil musculosquelettique et du tissu conjonctif	M	D04	Rhumatologie	X06	Rhumatologie	G040	Autres affections rhumatologiques	D04X06	D04X06G040
08M20	Fractures, entorses, luxations et dislocations du bras et de l'avant-bras, age inferieur a 18 ans	C	D02	Orthopedie traumatologie	X05	Traumatologie et ablation de materiel de l'appareil locomoteur	G036	Traumatismes du bassin et des membres	D02X05	D02X05G036
08M21	Entorses, luxations et dislocations du bras et de l'avant-bras, age superieur a 17 ans	C	D02	Orthopedie traumatologie	X05	Traumatologie et ablation de materiel de l'appareil locomoteur	G036	Traumatismes du bassin et des membres	D02X05	D02X05G036
08M22	Fractures, entorses, luxations et dislocations de la main	C	D02	Orthopedie traumatologie	X05	Traumatologie et ablation de materiel de l'appareil locomoteur	G036	Traumatismes du bassin et des membres	D02X05	D02X05G036
08M23	Fractures, entorses, luxations et dislocations du pied	C	D02	Orthopedie traumatologie	X05	Traumatologie et ablation de materiel de l'appareil locomoteur	G036	Traumatismes du bassin et des membres	D02X05	D02X05G036
08M24	Tumeurs primitives malignes des os, du cartilage ou des tissus mous	M	D04	Rhumatologie	X06	Rhumatologie	G038	Prise en charge medicale des tumeurs de l'appareil musculosquelettique, du tissu conjonctif et fractures pathologiques	D04X06	D04X06G038
08M25	Fractures pathologiques et autres tumeurs malignes de l'appareil musculosquelettique et du tissu conjonctif	M	D04	Rhumatologie	X06	Rhumatologie	G038	Prise en charge medicale des tumeurs de l'appareil musculosquelettique, du tissu conjonctif et fractures pathologiques	D04X06	D04X06G038
08M26	Fractures du rachis	M	D02	Orthopedie traumatologie	X05	Traumatologie et ablation de materiel de l'appareil locomoteur	G210	Traumatismes du rachis	D02X05	D02X05G210
08M27	Sciatiques et autres radiculopathies	M	D04	Rhumatologie	X06	Rhumatologie	G039	Maladies osseuses et arthropathies	D04X06	D04X06G039
08M28	Autres rachialgies	M	D04	Rhumatologie	X06	Rhumatologie	G039	Maladies osseuses et arthropathies	D04X06	D04X06G039
08M29	Autres pathologies rachidiennes relevant d'un traitement medical	M	D04	Rhumatologie	X06	Rhumatologie	G039	Maladies osseuses et arthropathies	D04X06	D04X06G039
08M30	Rhumatismes et raideurs articulaires	M	D04	Rhumatologie	X06	Rhumatologie	G039	Maladies osseuses et arthropathies	D04X06	D04X06G039
08M31	Osteomyelites aigües (y compris vertebrales) et arthrites septiques	C	D04	Rhumatologie	X06	Rhumatologie	G211	Osteomyelites aigües (y compris vertebrales) et arthrites septiques	D04X06	D04X06G211
08M32	Osteomyelites chroniques	M	D04	Rhumatologie	X06	Rhumatologie	G039	Maladies osseuses et arthropathies	D04X06	D04X06G039
08M33	Ablation de materiel sans acte classant	C	D02	Orthopedie traumatologie	X05	Traumatologie et ablation de materiel de l'appareil locomoteur	G036	Traumatismes du bassin et des membres	D02X05	D02X05G036
08M34	Algoneurodystrophie	M	D04	Rhumatologie	X06	Rhumatologie	G039	Maladies osseuses et arthropathies	D04X06	D04X06G039
08M35	Explorations et surveillance de l'appareil musculosquelettique et du tissu conjonctif	M	D04	Rhumatologie	X06	Rhumatologie	G042	Explorations et surveillance de l'appareil musculosquelettique et du tissu conjonctif	D04X06	D04X06G042
08M36	Symptômes et autres recours aux soins de la CMD 08	M	D04	Rhumatologie	X06	Rhumatologie	G039	Maladies osseuses et arthropathies	D04X06	D04X06G039
08M37	Fractures du bras et de l'avant-bras, age superieur a 17 ans	C	D02	Orthopedie traumatologie	X05	Traumatologie et ablation de materiel de l'appareil locomoteur	G036	Traumatismes du bassin et des membres	D02X05	D02X05G036
08M38	Entorses et luxations du rachis	M	D02	Orthopedie traumatologie	X05	Traumatologie et ablation de materiel de l'appareil locomoteur	G210	Traumatismes du rachis	D02X05	D02X05G210
09C02	Greffes de peau et/ou parages de plaie pour ulcere cutane ou cellulite	C	D20	Tissu cutane et tissu sous-cutane	C23	Parages de plaies, Greffes de peau, des Tissus S/C	G163	Greffes peau / parages hors brûlures	D20C23	D20C23G163
09C03	Greffes de peau et/ou parages de plaie a l'exception des ulceres cutanes et cellulites	C	D20	Tissu cutane et tissu sous-cutane	C23	Parages de plaies, Greffes de peau, des Tissus S/C	G163	Greffes peau / parages hors brûlures	D20C23	D20C23G163
09C04	Mastectomies totales pour tumeur maligne	C	D12	Gynecologie - sein	C18	Chirurgie du sein	G107	Chirurgie pour tumeurs malignes sein	D12C18	D12C18G107
09C05	Mastectomies subtotales pour tumeur maligne	C	D12	Gynecologie - sein	C18	Chirurgie du sein	G107	Chirurgie pour tumeurs malignes sein	D12C18	D12C18G107
09C06	Interventions sur le sein pour des affections non malignes autres que les actes de biopsie et d'excision locale	C	D12	Gynecologie - sein	C18	Chirurgie du sein	G108	Chirurgie du sein hors TM	D12C18	D12C18G108
09C07	Biopsies et excisions locales pour des affections non malignes du sein	C	D12	Gynecologie - sein	C18	Chirurgie du sein	G108	Chirurgie du sein hors TM	D12C18	D12C18G108
09C08	Interventions sur la region anale et perianale	C	D01	Digestif	C07	Chir. Viscerale autre : rate, grêle, colon, proctologie, hernies	G007	Chirurgies rectum/anus (hors resections)	D01C07	D01C07G007
09C09	Interventions plastiques en dehors de la chirurgie esthetique	C	D20	Tissu cutane et tissu sous-cutane	C23	Parages de plaies, Greffes de peau, des Tissus S/C	G163	Greffes peau / parages hors brûlures	D20C23	D20C23G163
09C10	Autres interventions sur la peau, les tissus sous-cutanes ou les seins	C	D26	Activites inter specialites, suivi therapeutique d'affections connues	C25	Chirurgie inter specialites	G179	Chirurgie inter specialites	D26C25	D26C25G179
09C11	Reconstructions des seins	C	D12	Gynecologie - sein	C18	Chirurgie du sein	G107	Chirurgie pour tumeurs malignes sein	D12C18	D12C18G107
09C12	Interventions pour kystes, granulomes et interventions sur les ongles	C	D20	Tissu cutane et tissu sous-cutane	C23	Parages de plaies, Greffes de peau, des Tissus S/C	G163	Greffes peau / parages hors brûlures	D20C23	D20C23G163
09C13	Interventions pour condylomes anogenitaux	C	D01	Digestif	C07	Chir. Viscerale autre : rate, grêle, colon, proctologie, hernies	G007	Chirurgies rectum/anus (hors resections)	D01C07	D01C07G007
09C14	Certains curages lymphonodaux pour des affections de la peau, des tissus sous-cutanes ou des seins	C	D26	Activites inter specialites, suivi therapeutique d'affections connues	C25	Chirurgie inter specialites	G179	Chirurgie inter specialites	D26C25	D26C25G179
09C15	Interventions sur la peau, les tissus sous-cutanes ou les seins pour lesions traumatiques	C	D26	Activites inter specialites, suivi therapeutique d'affections connues	C25	Chirurgie inter specialites	G179	Chirurgie inter specialites	D26C25	D26C25G179
09K02	Affections de la peau, des tissus sous-cutanes et des seins sans acte operatoire de la CMD 09, avec anesthesie, en ambulatoire	M	D26	Activites inter specialites, suivi therapeutique d'affections connues	K15	Autres sej. sans acte, avec anesthesie, en ambulatoire (Aff. myeloP., peau, sein...)	G203	 Autres sej. sans acte, avec anesthesie, en ambulatoire (Aff. myeloP., peau, sein..)	D26K15	D26K15G203
09M02	Traumatismes de la peau et des tissus sous-cutanes, age inferieur a 18 ans	C	D20	Tissu cutane et tissu sous-cutane	X16	Affections et traumatismes de la peau, gelures	G164	Intervention  peau et tissu sous-cutane	D20X16	D20X16G164
09M03	Traumatismes de la peau et des tissus sous-cutanes, age superieur a 17 ans	C	D20	Tissu cutane et tissu sous-cutane	X16	Affections et traumatismes de la peau, gelures	G164	Intervention  peau et tissu sous-cutane	D20X16	D20X16G164
09M04	Lesions, infections et inflammations de la peau et des tissus sous-cutanes, age inferieur a 18 ans	M	D20	Tissu cutane et tissu sous-cutane	X16	Affections et traumatismes de la peau, gelures	G166	Infections peau et tissu sous-cutane	D20X16	D20X16G166
09M05	Lesions, infections et inflammations de la peau et des tissus sous-cutanes, age superieur a 17 ans	M	D20	Tissu cutane et tissu sous-cutane	X16	Affections et traumatismes de la peau, gelures	G166	Infections peau et tissu sous-cutane	D20X16	D20X16G166
09M06	Ulceres cutanes	M	D20	Tissu cutane et tissu sous-cutane	X16	Affections et traumatismes de la peau, gelures	G165	Affections peau et tissu sous-cutane	D20X16	D20X16G165
09M07	Autres affections dermatologiques	M	D20	Tissu cutane et tissu sous-cutane	X16	Affections et traumatismes de la peau, gelures	G165	Affections peau et tissu sous-cutane	D20X16	D20X16G165
09M08	Affections dermatologiques severes	M	D20	Tissu cutane et tissu sous-cutane	X16	Affections et traumatismes de la peau, gelures	G165	Affections peau et tissu sous-cutane	D20X16	D20X16G165
09M09	Affections non malignes des seins	M	D12	Gynecologie - sein	X11	Gynecologie, Senologie (hors Obstetrique)	G113	Affections des seins 	D12X11	D12X11G113
09M10	Tumeurs malignes des seins	M	D12	Gynecologie - sein	X11	Gynecologie, Senologie (hors Obstetrique)	G114	Prise en charge medicale des tumeurs des seins 	D12X11	D12X11G114
09M11	Tumeurs de la peau	M	D20	Tissu cutane et tissu sous-cutane	X16	Affections et traumatismes de la peau, gelures	G167	Prise en charge medicale des tumeurs de la peau et tissu sous-cutane	D20X16	D20X16G167
09M12	Explorations et surveillance des affections de la peau	M	D20	Tissu cutane et tissu sous-cutane	X16	Affections et traumatismes de la peau, gelures	G168	Explorations et surveillance des affections de la peau	D20X16	D20X16G168
09M13	Explorations et surveillance des affections des seins	M	D12	Gynecologie - sein	X11	Gynecologie, Senologie (hors Obstetrique)	G115	Explorations et surveillance gynecologiques et des affections des seins	D12X11	D12X11G115
09M14	Symptômes et autres recours aux soins concernant les affections de la peau	M	D20	Tissu cutane et tissu sous-cutane	X16	Affections et traumatismes de la peau, gelures	G165	Affections peau et tissu sous-cutane	D20X16	D20X16G165
09M15	Symptômes et autres recours aux soins concernant les affections des seins	M	D12	Gynecologie - sein	X11	Gynecologie, Senologie (hors Obstetrique)	G113	Affections des seins 	D12X11	D12X11G113
09Z02	Chirurgie esthetique	C	D26	Activites inter specialites, suivi therapeutique d'affections connues	X26	Chirurgie esthetique et de confort	G180	Chirurgie esthetique et de confort	D26X26	D26X26G180
10C02	Interventions sur l'hypophyse	C	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	C02	Chirurgie du rachis, Neuro-chirurgie	G044	Chirurgies SNC hors trauma (rachis et moelle exceptes)	D05C02	D05C02G044
10C03	Interventions sur les glandes surrenales	C	D15	Uro-nephrologie et genital 	C19	Chirurgie Urologique	G126	Chirurgies reins, ureteres, vessie, glandes surrenales	D15C19	D15C19G126
10C05	Interventions sur les parathyroides	C	D19	Endocrinologie	C22	Chirurgie de la Thyroide, Parathyroide, du Tractus Thyreoglosse, endocrinologie	G157	Chirurgie des parathyroides, du tractus thyreoglosse, endocrinologie	D19C22	D19C22G157
10C07	Interventions sur le tractus thyreoglosse	C	D19	Endocrinologie	C22	Chirurgie de la Thyroide, Parathyroide, du Tractus Thyreoglosse, endocrinologie	G157	Chirurgie des parathyroides, du tractus thyreoglosse, endocrinologie	D19C22	D19C22G157
10C08	Autres interventions pour troubles endocriniens, metaboliques ou nutritionnels	C	D26	Activites inter specialites, suivi therapeutique d'affections connues	C25	Chirurgie inter specialites	G179	Chirurgie inter specialites	D26C25	D26C25G179
10C09	Gastroplasties pour obesite	C	D01	Digestif	C06	Chir. Digestive majeure : oesophage, estomac, grêle, côlon, rectum	G001	Chirurgies digestives hautes	D01C06	D01C06G001
10C10	Autres interventions pour obesite	C	D19	Endocrinologie	C22	Chirurgie de la Thyroide, Parathyroide, du Tractus Thyreoglosse, endocrinologie	G157	Chirurgie des parathyroides, du tractus thyreoglosse, endocrinologie	D19C22	D19C22G157
10C11	Interventions sur la thyroide pour tumeurs malignes	C	D19	Endocrinologie	C22	Chirurgie de la Thyroide, Parathyroide, du Tractus Thyreoglosse, endocrinologie	G158	Chirurgie de la thyroide	D19C22	D19C22G158
10C12	Interventions sur la thyroide pour affections non malignes	C	D19	Endocrinologie	C22	Chirurgie de la Thyroide, Parathyroide, du Tractus Thyreoglosse, endocrinologie	G158	Chirurgie de la thyroide	D19C22	D19C22G158
10C13	Interventions digestives autres que les gastroplasties, pour obesite	C	D01	Digestif	C07	Chir. Viscerale autre : rate, grêle, colon, proctologie, hernies	G008	Autres chirurgies digestives	D01C07	D01C07G008
10M02	Diabete, age superieur a 35 ans	M	D19	Endocrinologie	X15	Diabete, Maladies metaboliques, Endocrinologie (hors complications)	G159	Diabete	D19X15	D19X15G159
10M03	Diabete, age inferieur a 36 ans	M	D19	Endocrinologie	X15	Diabete, Maladies metaboliques, Endocrinologie (hors complications)	G159	Diabete	D19X15	D19X15G159
10M07	Autres troubles endocriniens	M	D19	Endocrinologie	X15	Diabete, Maladies metaboliques, Endocrinologie (hors complications)	G160	Maladies endocriniennes hors diabete	D19X15	D19X15G160
10M08	Acidocetose et coma diabetique	M	D19	Endocrinologie	X15	Diabete, Maladies metaboliques, Endocrinologie (hors complications)	G159	Diabete	D19X15	D19X15G159
10M09	Obesite	M	D19	Endocrinologie	X15	Diabete, Maladies metaboliques, Endocrinologie (hors complications)	G161	Troubles metaboliques, nutritionnels et obesite	D19X15	D19X15G161
10M10	Maladies metaboliques congenitales severes	M	D19	Endocrinologie	X15	Diabete, Maladies metaboliques, Endocrinologie (hors complications)	G161	Troubles metaboliques, nutritionnels et obesite	D19X15	D19X15G161
10M11	Autres maladies metaboliques congenitales	M	D19	Endocrinologie	X15	Diabete, Maladies metaboliques, Endocrinologie (hors complications)	G161	Troubles metaboliques, nutritionnels et obesite	D19X15	D19X15G161
10M12	Tumeurs des glandes endocrines	M	D19	Endocrinologie	X15	Diabete, Maladies metaboliques, Endocrinologie (hors complications)	G160	Maladies endocriniennes hors diabete	D19X15	D19X15G160
10M13	Explorations et surveillance pour affections endocriniennes et metaboliques	M	D19	Endocrinologie	X15	Diabete, Maladies metaboliques, Endocrinologie (hors complications)	G162	Explorations et surveillance pour affections endocriniennes, troubles metaboliques, nutritionnels et obesite	D19X15	D19X15G162
10M14	Symptômes et autres recours aux soins de la CMD 10	M	D19	Endocrinologie	X15	Diabete, Maladies metaboliques, Endocrinologie (hors complications)	G160	Maladies endocriniennes hors diabete	D19X15	D19X15G160
10M15	Troubles metaboliques, age inferieur a 18 ans	M	D19	Endocrinologie	X15	Diabete, Maladies metaboliques, Endocrinologie (hors complications)	G161	Troubles metaboliques, nutritionnels et obesite	D19X15	D19X15G161
10M16	Troubles metaboliques, age superieur a 17 ans	M	D19	Endocrinologie	X15	Diabete, Maladies metaboliques, Endocrinologie (hors complications)	G161	Troubles metaboliques, nutritionnels et obesite	D19X15	D19X15G161
10M17	Troubles nutritionnels divers, age inferieur a 18 ans	M	D19	Endocrinologie	X15	Diabete, Maladies metaboliques, Endocrinologie (hors complications)	G161	Troubles metaboliques, nutritionnels et obesite	D19X15	D19X15G161
10M18	Troubles nutritionnels divers, age superieur a 17 ans	M	D19	Endocrinologie	X15	Diabete, Maladies metaboliques, Endocrinologie (hors complications)	G161	Troubles metaboliques, nutritionnels et obesite	D19X15	D19X15G161
10M19	Autres affections de la CMD 10 concernant majoritairement la petite enfance	M	D19	Endocrinologie	X15	Diabete, Maladies metaboliques, Endocrinologie (hors complications)	G212	Affections endocriniennes et problemes alimentaires du nouveau ne et du nourisson	D19X15	D19X15G212
10M20	Problemes alimentaires du nouveau-ne et du nourrisson	M	D19	Endocrinologie	X15	Diabete, Maladies metaboliques, Endocrinologie (hors complications)	G212	Affections endocriniennes et problemes alimentaires du nouveau ne et du nourisson	D19X15	D19X15G212
11C02	Interventions sur les reins et les ureteres et chirurgie majeure de la vessie pour une affection tumorale	C	D15	Uro-nephrologie et genital 	C19	Chirurgie Urologique	G126	Chirurgies reins, ureteres, vessie, glandes surrenales	D15C19	D15C19G126
11C03	Interventions sur les reins et les ureteres et chirurgie majeure de la vessie pour une affection non tumorale	C	D15	Uro-nephrologie et genital 	C19	Chirurgie Urologique	G126	Chirurgies reins, ureteres, vessie, glandes surrenales	D15C19	D15C19G126
11C04	Autres interventions sur la vessie a l'exception des interventions transuretrales	C	D15	Uro-nephrologie et genital 	C19	Chirurgie Urologique	G126	Chirurgies reins, ureteres, vessie, glandes surrenales	D15C19	D15C19G126
11C06	Interventions sur l'uretre, age inferieur a 18 ans	C	D15	Uro-nephrologie et genital 	C19	Chirurgie Urologique	G127	Chirurgies transuretrales, autres	D15C19	D15C19G127
11C07	Interventions sur l'uretre, age superieur a 17 ans	C	D15	Uro-nephrologie et genital 	C19	Chirurgie Urologique	G127	Chirurgies transuretrales, autres	D15C19	D15C19G127
11C08	Autres interventions sur les reins et les voies urinaires	C	D15	Uro-nephrologie et genital 	C19	Chirurgie Urologique	G126	Chirurgies reins, ureteres, vessie, glandes surrenales	D15C19	D15C19G126
11C09	Creations et refections de fistules arterioveineuses pour affections de la CMD 11	C	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	C14	Chirurgie vasculaire	G074	Autres chirurgies vasculaires	D07C14	D07C14G074
