ACTES	LIBELLE
QEFA006	Exérèse de tissu mammaire ectopique ou de glande mammaire aberrante [sein surnuméraire]
QEFA011	Exérèse unilatérale de gynécomastie
QEFA002	Exérèse bilatérale de gynécomastie
QEFA019	Mastectomie totale
QEFA020	Mastectomie totale avec conservation des pectoraux et curage lymphonodal axillaire
QEFA005	Mastectomie totale avec exérèse des pectoraux et curage lymphonodal axillaire
QEFA010	Mastectomie totale avec curages lymphonodaux axillaire et supraclaviculaire
QEFA003	Mastectomie totale avec curages lymphonodaux axillaire et parasternal [mammaire interne]
QEFA012	Mastectomie totale élargie en surface, avec autogreffe cutanée
QEFA013	Mastectomie totale élargie en surface, avec lambeau pédiculé de muscle grand dorsal ou lambeau parascapulaire
QEFA015	Mastectomie totale élargie en surface, avec lambeau libre musculocutané
QEFA009	Exérèse du mamelon
QEFA014	Exérèse de mamelon surnuméraire
QEFA018	Exérèse de la plaque aréolomamelonnaire
DHPA001	Désobstruction de la veine cave supérieure, par thoracotomie
LJFA002	Résection de la première côte, par abord supraclaviculaire ou par abord axillaire
LJFA003	Résection d une côte cervicale, par abord supraclaviculaire
LJFA004	Résection de la paroi thoracique, sans prothèse
LJFA006	Résection d une côte
LJFA007	Résection de la première côte et d une côte cervicale, par abord supraclaviculaire
LJFA008	Résection de la paroi thoracique, avec prothèse
LJFA009	Résection du sternum
LJFA010	Exérèse partielle de côte et/ou de sternum, par abord direct
LDFA009	Corporectomie vertébrale partielle, par cervicotomie antérieure ou antérolatérale
LDFA012	Corporectomie vertébrale totale, par cervicotomie antérieure ou antérolatérale
LHFA031	Exérèse totale de l arc vertébral, par abord postérieur
LEFA004	Corporectomie vertébrale totale, par thoraco-phréno-laparotomie
LEFA006	Corporectomie vertébrale totale, par thoracotomie
LEFA007	Corporectomie vertébrale partielle, par thoraco-phréno-laparotomie
LEFA010	Corporectomie vertébrale partielle, par thoracotomie
LEFA014	Corporectomie vertébrale partielle ou totale, par thoracoscopie ou par thoracotomie avec préparation par thoracoscopie
LFFA009	Corporectomie vertébrale partielle, par laparotomie ou par lombotomie
LFFA013	Corporectomie vertébrale totale, par laparotomie ou par lombotomie
LFFA014	Corporectomie vertébrale partielle ou totale, par abord direct avec préparation par c oelioscopie ou par rétropéritonéoscopie
LHFA016	Laminectomie vertébrale sans exploration du contenu intradural, par abord postérieur ou postérolatéral
LHFA019	Laminectomie vertébrale avec exploration du contenu intradural et plastie de la dure-mère, par abord postérieur ou postérolatéral
LHFA024	Laminectomie vertébrale avec exploration du contenu intradural sans plastie de la dure-mère, par abord postérieur ou postérolatéral
